committee_name	sect_ind	donations
Armed Services (S)	Defense - Defense Electronics	604848
Armed Services (S)	Defense - Misc Defense	446763
Armed Services (S)	Energy & Natural Resources - Electric Utilities	751475
Armed Services (S)	Energy & Natural Resources - Mining	350120
Armed Services (S)	Energy & Natural Resources - Oil & Gas	2259373
Armed Services (S)	Energy & Natural Resources - Waste Management	52007
Armed Services (S)	Finance, Insurance & Real Estate - Accountants	707087
Armed Services (S)	Finance, Insurance & Real Estate - Commercial Banks	1073287
Armed Services (S)	Finance, Insurance & Real Estate - Credit Unions	64136
Armed Services (S)	Finance, Insurance & Real Estate - Finance/Credit Companies	282497
Armed Services (S)	Finance, Insurance & Real Estate - Insurance	1980894
Armed Services (S)	Finance, Insurance & Real Estate - Misc Finance	1913816
Armed Services (S)	Finance, Insurance & Real Estate - Real Estate	4692440
Armed Services (S)	Finance, Insurance & Real Estate - Savings & Loans	34466
Armed Services (S)	Finance, Insurance & Real Estate - Securities & Investment	5423811
Armed Services (S)	Health - Health Professionals	2911985
Armed Services (S)	Health - Health Services/HMOs	668909
Armed Services (S)	Health - Hospitals/Nursing Homes	958481
Armed Services (S)	Health - Pharmaceuticals/Health Products	1161215
Armed Services (S)	Ideological/Single-Issue - Abortion Policy/Anti-Abortion	51473
Armed Services (S)	Ideological/Single-Issue - Abortion Policy/Pro-Abortion Rights	49428
